club_id,club_name
9463,Ilkeston Town (liq.)
972,Yeovil Town
1198,Lincoln City
353,Lillestrøm SK
3654,Kalmar FF
7011,Lamontville Golden Arrows
3052,Sutton United
6942,Fulham FC U18
371,Celtic FC
605,Aris Thessaloniki
1114,Al-Hilal Riyadh
349,Barnsley FC
566,Germinal Beerschot Antwerpen
2381,Sivasspor
2977,KSV Roeselare (- 2021)
358,Charlton Athletic
7006,Melbourne Victory
6928,Tottenham Hotspur U18
1218,Torquay United
3696,Dagenham & Redbridge FC
1028,Millwall FC
3371,Cheltenham Town
703,Nottingham Forest
609,Cruzeiro Esporte Clube
3057,Standard Liège
6699,Exeter City
232,Spartak Moscow
504,Grasshopper Club Zurich
708,Újpest FC
9955,West Ham United U18
2964,Scunthorpe United
3685,Grays Athletic FC
14806,Club Atlético Cerro
660,Shakhtar Donetsk
9265,Manchester City Reserves
141,Galatasaray A.S.
1045,Notts County
868,MKE Ankaragücü
1219,Chesterfield FC
2720,CD Olimpia
12808,Wigan Athletic U18
664,Zamalek SC
866,Club Nacional
12804,Crewe Alexandra U18
14494,Stoke City U18
1035,Sheffield Wednesday
1220,Carlisle United
4295,Stafford Rangers
4079,Vauxhall Motors FC
6500,FC Seoul
12801,Wolverhampton Wanderers U18
9259,Bolton Wanderers U23
6915,Bolton Wanderers U18
2578,St. Johnstone FC
964,Zenit St. Petersburg
2113,Career break
6939,Portsmouth FC U18
1034,Grimsby Town
3508,SV Zulte Waregem
1031,Luton Town
42938,Redhill FC
447,HNK Hajduk Split
2282,Club Brugge KV
6949,Blackburn Rovers U18
9258,Blackburn Rovers Reserves
3688,Accrington Stanley
1194,Rotherham United
3613,Chester City (- 2010)
3054,Shrewsbury Town
2760,Partick Thistle FC
991,Milton Keynes Dons
6363,Audax Italiano
10880,CS Sedan-Ardennes B
1804,Deportivo Toluca
9264,Sunderland AFC Reserves
12797,Sunderland AFC U18
2577,Hartlepool United
903,Hibernian FC
18687,Atlético Baleares
14482,Hull City U18
899,Walsall FC
170,Rapid Vienna
2454,Doncaster Rovers
2455,Bristol Rovers
1060,Colchester United
466,Preston North End
42231,AFC Wulfrunians
124,Rangers FC
1403,Santos Laguna
9212,Galway United FC (- 2011)
22752,Deportivo del Valle
6938,Birmingham City U18
2963,Burton Albion
3064,Hereford United (- 2014)
3205,Kayserispor
3825,Kettering Town
716,GKS Belchatow
9251,Manchester United Reserves
