"club_id","season","Y_margin_sum","n_sales_Y","spend_sum","n_buys","n_sales_tot","n_costzero","costzero_share","betweenness","out_degree","in_degree"
368,2020,-4320000,3,72250000,8,3,0,0,920.496138072454,3,7
368,2021,-11500000,3,38500000,4,3,0,0,264.340548340548,2,2
379,2009,28400000,1,21050000,7,4,4,1,317.899188230071,3,4
379,2010,3950000,3,16475000,7,3,1,0.333333333333333,117.530817793318,2,2
379,2012,4150000,2,22345000,6,2,2,1,200.344076537498,0,3
379,2013,205000,1,23300000,2,1,1,1,0,0,1
379,2014,3200000,1,35150000,6,1,0,0,100.462945241893,1,2
379,2015,4800000,2,51700000,7,5,0,0,62.1182243195401,2,3
379,2016,33500000,2,70800000,6,2,1,0.5,49.8109634930287,2,3
379,2017,51920000,8,53300000,4,8,0,0,95.5689351068608,3,2
379,2018,3e+06,3,100900000,7,3,0,0,339.78616938617,2,5
379,2019,22230000,8,115300000,5,8,0,0,298.218286537724,6,2
379,2020,-1290000,6,46900000,4,6,0,0,27.0481962481962,2,0
379,2021,-7e+06,1,67300000,3,1,0,0,62.242624042624,1,2
380,2021,0,0,2800000,3,0,0,0,0,0,0
383,2009,0,0,7100000,2,3,3,1,42.9767316017316,1,1
383,2010,75000,2,8500000,3,4,4,1,11.4819444444444,2,1
383,2011,13500000,1,26550000,6,2,2,1,199.439989177489,1,4
383,2012,-3100000,1,8800000,3,2,1,0.5,218.636252050547,2,2
383,2013,28455000,6,14555000,5,6,2,0.333333333333333,535.540613918246,5,4
383,2014,2100000,2,5500000,1,2,0,0,0,1,1
383,2015,-20300000,3,20300000,6,4,0,0,260.246090155912,4,4
383,2016,14150000,3,5250000,2,3,0,0,112.219626451979,2,1
383,2017,26400000,8,27900000,4,8,0,0,346.032740607998,6,2
383,2018,5850000,5,21250000,5,5,0,0,393.541474538534,3,2
383,2019,-19150000,7,31500000,4,7,0,0,386.54559369609,6,3
383,2020,-1700000,4,15500000,3,4,1,0.25,525.442662337663,3,1
383,2021,-12080000,6,6e+06,2,6,0,0,416.068997668998,5,1
385,2018,0,0,160000,1,0,0,0,0,0,0
385,2019,0,0,2e+05,1,0,0,0,0,0,0
385,2020,-4e+05,2,8e+05,4,2,0,0,112,1,1
398,2009,4e+06,1,30650000,6,2,2,1,264.135086155674,2,4
398,2010,22260000,2,29500000,5,4,3,0.75,124.236272937589,3,2
398,2011,3150000,2,22340000,7,5,2,0.4,89.4621588765552,2,2
398,2012,0,0,1530000,2,2,2,1,111.663030930422,2,1
398,2013,23150000,2,26830000,5,5,1,0.2,172.822221607941,5,1
398,2014,-1e+05,1,12250000,3,1,0,0,36.5621168159326,0,2
398,2015,1550000,1,31250000,6,3,0,0,27.1960067710068,1,3
398,2016,23300000,3,32700000,7,4,0,0,267.626775036558,3,4
398,2017,57120000,5,14600000,5,5,0,0,125.131467770276,4,3
398,2018,2.8e+07,1,51280000,6,1,0,0,43.7707447780977,1,3
398,2019,-5800000,4,46876000,11,4,0,0,102.477056277056,3,2
398,2020,-250000,3,40620000,3,3,0,0,24.8186507936508,2,0
398,2021,-2e+06,1,12560000,4,1,0,0,35.9345238095238,1,2
399,2020,0,0,105800000,6,0,0,0,222.276479076479,0,6
399,2021,0,0,58900000,4,0,0,0,76.9333694083694,0,3
403,2010,0,0,0,0,1,1,1,0,1,0
403,2012,0,0,25000,1,0,0,0,0,0,0
403,2015,-88850000,2,3e+05,1,2,1,0.5,47.3714285714286,1,1
403,2016,0,0,150000,1,0,0,0,0,0,0
403,2017,-75000,1,225000,2,1,0,0,0,1,0
403,2018,2500000,1,1e+05,1,1,0,0,0,0,0
403,2019,-220000,1,250000,1,1,0,0,0,0,0
403,2020,-490000,2,1075000,4,2,0,0,164.326428571429,1,2
403,2021,-5e+05,2,750000,1,2,0,0,0,1,0
405,2009,0,0,46900000,6,3,3,1,194.388472638473,3,3
405,2010,22800000,2,37400000,3,4,4,1,407.081016571148,4,3
405,2011,16920000,2,19335000,4,4,2,0.5,437.564685314685,3,3
405,2012,0,0,27830000,8,1,0,0,60.3072344322344,1,1
405,2013,3e+05,1,19840000,7,2,0,0,218.28009575956,2,4
405,2014,-2385000,4,13450000,4,4,0,0,121.188503163503,1,2
405,2015,46450000,5,66200000,9,5,0,0,178.208729424171,3,6
405,2019,5e+05,1,159100000,13,1,1,1,522.698477433559,0,7
405,2020,270000,1,101350000,5,1,1,1,53.3127344877345,0,3
405,2021,19800000,3,99820000,3,3,0,0,305.464357864358,1,3
410,2009,27600000,5,18333000,11,6,6,1,147.173030478294,4,2
410,2010,10700000,2,13550000,8,5,5,1,139.388081363081,3,2
410,2011,5.2e+07,5,20611000,9,9,5,0.555555555555556,292.204147022568,6,1
410,2012,51175000,5,26400000,8,6,2,0.333333333333333,376.100965480392,5,3
410,2013,26100000,5,24410000,14,5,1,0.2,162.374201643767,4,2
410,2014,8350000,5,29200000,10,6,1,0.166666666666667,58.6698920360685,3,3
410,2015,-19200000,7,21420000,9,8,1,0.125,222.848494725662,6,4
410,2016,-31500000,5,2.6e+07,6,5,0,0,27.1652372176514,2,2
410,2017,-81775000,4,22441000,10,5,0,0,98.4464815604724,5,1
410,2018,111000,7,47800000,8,7,0,0,35.6654002859885,2,1
410,2019,15335000,9,12600000,5,9,0,0,95.9312771881528,6,2
410,2020,-6750000,6,3500000,1,6,1,0.166666666666667,117.992803760567,4,1
410,2021,-15100000,8,9300000,4,8,2,0.25,485.107872682873,3,4
415,2009,0,0,6e+06,2,3,3,1,83.4787369493252,2,1
415,2010,14725000,2,0,0,2,1,0.5,0,1,0
415,2011,2425000,1,13340000,5,3,2,0.666666666666667,112.074540225856,2,1
415,2012,-2e+05,3,1e+06,1,4,2,0.5,36.0264869188782,2,1
415,2013,13200000,3,13550000,8,4,3,0.75,35.1104007104007,3,0
415,2014,13300000,2,3e+06,3,2,0,0,0,1,0
415,2015,-5e+06,2,2900000,2,2,0,0,114,1,1
415,2016,-25500000,2,1.3e+07,5,2,0,0,69.6621101121101,1,3
415,2017,1350000,4,3500000,1,4,0,0,0,0,1
415,2018,-4250000,4,18450000,7,4,0,0,189.65328903123,3,3
415,2019,-6450000,5,1.4e+07,3,5,0,0,40.5167867476371,2,1
416,2012,3530000,3,24280000,10,3,0,0,209.020779667529,2,6
416,2013,13065000,4,19900000,6,5,3,0.6,55.221192185008,4,2
416,2014,-4790000,4,22300000,7,5,0,0,130.959596498273,4,2
416,2015,4500000,4,27200000,7,4,1,0.25,86.6508575961363,2,4
416,2016,1880000,5,27980000,9,7,1,0.142857142857143,82.0065993217309,4,5
416,2017,44650000,9,18850000,4,10,2,0.2,68.3444975044113,5,0
416,2018,4100000,5,49550000,7,5,0,0,266.159820571585,4,5
416,2019,14200000,4,27300000,4,4,0,0,81.5894526883745,1,4
416,2020,2200000,3,43650000,5,3,1,0.333333333333333,245.89882034632,2,4
416,2021,2e+06,3,7400000,3,3,0,0,148.969480519481,3,0
417,2009,0,0,3500000,2,3,3,1,27.0647907647908,2,1
417,2010,16650000,2,1300000,2,3,3,1,10.9507936507936,3,0
417,2011,1e+05,2,8100000,5,2,0,0,7.04920634920635,0,2
417,2012,6e+06,4,6e+06,3,5,1,0.2,170.718122006581,3,2
417,2014,-2e+06,2,1300000,2,3,1,0.333333333333333,50.5114285714286,2,1
417,2015,-14600000,3,4100000,4,3,0,0,41.3213858037387,3,1
417,2016,7100000,2,15250000,7,2,0,0,302.571635279066,1,5
417,2017,21600000,3,26300000,6,3,0,0,190.225321905552,3,4
417,2018,10200000,5,2.8e+07,4,5,0,0,129.283956321456,2,2
417,2019,-25800000,5,5e+07,4,5,0,0,106.819021152435,3,2
417,2020,-3690000,6,29230000,6,6,0,0,477.368434343435,5,4
417,2021,-8e+05,4,4.8e+07,6,4,0,0,750.3136002886,2,6
418,2009,14200000,3,258500000,8,9,8,0.888888888888889,1229.79228914933,7,7
418,2010,0,0,8.9e+07,6,1,1,1,449.103463568595,1,6
418,2011,0,0,5.6e+07,4,1,1,1,134.067908407382,1,3
418,2012,-12500000,1,38500000,2,5,2,0.4,149.219448684831,2,2
418,2013,101200000,5,175500000,5,5,1,0.2,303.993381326276,3,4
418,2014,30300000,3,1.23e+08,4,5,0,0,192.858124969572,5,3
418,2015,9e+06,1,85400000,6,1,0,0,147.800107920402,1,3
418,2016,23500000,4,3e+07,1,4,1,0.25,105.101342982783,4,1
418,2017,22300000,5,40500000,2,5,1,0.2,83.6768624040219,5,2
418,2018,67800000,4,162750000,8,4,0,0,263.250009055272,4,5
418,2019,-67500000,5,353500000,7,5,0,0,144.686918310448,5,4
418,2020,-30300000,7,0,0,7,0,0,369.27059998481,6,0
418,2021,-3.5e+07,2,3.1e+07,1,2,0,0,95.2972582972583,2,1
430,2009,27550000,3,35450000,10,7,6,0.857142857142857,596.883627643999,6,4
430,2010,1100000,1,22800000,6,2,1,0.5,35.2389110889111,0,3
430,2011,-149000,1,17935000,12,6,2,0.333333333333333,59.8201492908536,2,5
430,2012,24350000,3,38090000,12,4,1,0.25,244.276913899691,3,5
430,2013,18200000,3,53300000,6,3,1,0.333333333333333,235.650206620229,3,4
